Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,tissue
SRR12868154,RNA-Seq,300,9423097200,PRJNA669810,SAMN16457954,Model organism or animal,2851047343,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",young adult,SRX9334523,Illumina NovaSeq 6000,ED3040_GZ_B4_E9_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:18:00Z,1,ED3040_GZ_B4_E9_GZpool_05_2019,hermaphrodite,SRP288011,ED3040,whole animals
SRR12868155,RNA-Seq,300,49784944500,PRJNA669810,SAMN16457953,Model organism or animal,15258098662,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",young adult,SRX9334522,Illumina NovaSeq 6000,ED3040_GZ_B3_I6_GZpool_03_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T19:19:00Z,1,ED3040_GZ_B3_I6_GZpool_03_2019,hermaphrodite,SRP288011,ED3040,whole animals
SRR12868156,RNA-Seq,300,9594572100,PRJNA669810,SAMN16458321,Model organism or animal,2912574935,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334521,Illumina NovaSeq 6000,NIC255_GZ_B5_C9_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:15:00Z,1,NIC255_GZ_B5_C9_GZpool_05_2019,hermaphrodite,SRP288011,NIC255,whole animals
SRR12868157,RNA-Seq,300,8110548900,PRJNA669810,SAMN16457880,Model organism or animal,2444715853,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334520,Illumina NovaSeq 6000,DL226_GZ_B4_H3_GZpool_07_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:12:00Z,1,DL226_GZ_B4_H3_GZpool_07_2020,hermaphrodite,SRP288011,DL226,whole animals
SRR12868158,RNA-Seq,300,9327510600,PRJNA669810,SAMN16458320,Model organism or animal,2914692977,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",young adult,SRX9334519,Illumina NovaSeq 6000,NIC255_GZ_B3_F4_GZpool_03_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:15:00Z,1,NIC255_GZ_B3_F4_GZpool_03_2019,hermaphrodite,SRP288011,NIC255,whole animals
SRR12868159,RNA-Seq,300,8108705700,PRJNA669810,SAMN16458319,Model organism or animal,2448158070,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334518,Illumina NovaSeq 6000,NIC255_GZ_B2_G1_GZpool_01_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:24:00Z,1,NIC255_GZ_B2_G1_GZpool_01_2019,hermaphrodite,SRP288011,NIC255,whole animals
SRR12868160,RNA-Seq,300,8020534800,PRJNA669810,SAMN16458318,Model organism or animal,2448772718,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334517,Illumina NovaSeq 6000,NIC252_GZ_B4_D8_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:10:00Z,1,NIC252_GZ_B4_D8_GZpool_05_2019,hermaphrodite,SRP288011,NIC252,whole animals
SRR12868161,RNA-Seq,300,10504353300,PRJNA669810,SAMN16458317,Model organism or animal,3254988491,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334516,Illumina NovaSeq 6000,NIC252_GZ_B4_B3_GZpool_04_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:14:00Z,1,NIC252_GZ_B4_B3_GZpool_04_2019,hermaphrodite,SRP288011,NIC252,whole animals
SRR12868162,RNA-Seq,300,19782371400,PRJNA669810,SAMN16458316,Model organism or animal,5966788343,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",young adult,SRX9334515,Illumina NovaSeq 6000,NIC252_GZ_B2_A1_GZpool_01_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:29:00Z,1,NIC252_GZ_B2_A1_GZpool_01_2019,hermaphrodite,SRP288011,NIC252,whole animals
SRR12868163,RNA-Seq,300,8048401200,PRJNA669810,SAMN16458315,Model organism or animal,2425832462,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",young adult,SRX9334514,Illumina NovaSeq 6000,NIC251_GZr_B2_I9_GZpool_07_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:14:00Z,1,NIC251_GZr_B2_I9_GZpool_07_2020,hermaphrodite,SRP288011,NIC251,whole animals
